city,state,zip,latitude,longitude
"Adjuntas","Puerto Rico","00601","18.18027","-66.75266"
"Aguada","Puerto Rico","00602","18.36075","-67.17541"
"Aguadilla","Puerto Rico","00603","18.45744","-67.12225"
"Maricao","Puerto Rico","00606","18.16585","-66.93716"
"Anasco","Puerto Rico","00610","18.2911","-67.12243"
"Angeles","Puerto Rico","00611","18.27698","-66.80688"
"Arecibo","Puerto Rico","00612","18.41283","-66.7051"
"Bajadero","Puerto Rico","00616","18.41878","-66.6679"
"Barceloneta","Puerto Rico","00617","18.44598","-66.56006"
"Boqueron","Puerto Rico","00622","17.98892","-67.1566"
"Cabo Rojo","Puerto Rico","00623","18.08429","-67.15336"
"Penuelas","Puerto Rico","00624","18.05905","-66.71932"
"Camuy","Puerto Rico","00627","18.41905","-66.86037"
"Castaner","Puerto Rico","00631","18.1852","-66.83169"
"Rosario","Puerto Rico","00636","18.16354","-67.08014"
"Sabana Grande","Puerto Rico","00637","18.081","-66.94659"
"Ciales","Puerto Rico","00638","18.28462","-66.5137"
"Utuado","Puerto Rico","00641","18.26742","-66.70212"
"Dorado","Puerto Rico","00646","18.43251","-66.28429"
"Ensenada","Puerto Rico","00647","17.96667","-66.94266"
"Florida","Puerto Rico","00650","18.34487","-66.58347"
"Garrochales","Puerto Rico","00652","18.45614","-66.60194"
"Guanica","Puerto Rico","00653","17.99413","-66.90266"
"Guayanilla","Puerto Rico","00656","18.04186","-66.79123"
"Hatillo","Puerto Rico","00659","18.41036","-66.79691"
"Hormigueros","Puerto Rico","00660","18.13412","-67.11399"
"Isabela","Puerto Rico","00662","18.46622","-67.01508"
"Jayuya","Puerto Rico","00664","18.21064","-66.59066"
"Lajas","Puerto Rico","00667","18.01246","-67.0417"
"Lares","Puerto Rico","00669","18.27019","-66.86727"
"Las Marias","Puerto Rico","00670","18.23782","-66.98852"
"Manati","Puerto Rico","00674","18.42229","-66.4891"
"Moca","Puerto Rico","00676","18.37897","-67.08098"
"Rincon","Puerto Rico","00677","18.33535","-67.23155"
"Quebradillas","Puerto Rico","00678","18.42949","-66.93016"
"Mayaguez","Puerto Rico","00680","18.16307","-67.36122"
"Mayaguez","Puerto Rico","00682","18.22415","-67.15309"
"San German","Puerto Rico","00683","18.10926","-67.03803"
"San Sebastian","Puerto Rico","00685","18.33656","-66.97518"
"Morovis","Puerto Rico","00687","18.31707","-66.42029"
"Sabana Hoyos","Puerto Rico","00688","18.3807","-66.62496"
"San Antonio","Puerto Rico","00690","18.49363","-67.09734"
"Vega Alta","Puerto Rico","00692","18.40905","-66.33768"
"Vega Baja","Puerto Rico","00693","18.42633","-66.39811"
"Vega Baja","Puerto Rico","00694","18.48327","-66.39269"
"Yauco","Puerto Rico","00698","18.07274","-66.85519"
"Aguas Buenas","Puerto Rico","00703","18.24739","-66.13143"
"Aguirre","Puerto Rico","00704","17.97442","-66.22888"
"Aibonito","Puerto Rico","00705","18.1294","-66.26653"
"Maunabo","Puerto Rico","00707","18.01752","-65.92127"
"Arroyo","Puerto Rico","00714","17.9981","-66.05635"
"Mercedita","Puerto Rico","00715","17.99738","-66.56104"
"Ponce","Puerto Rico","00716","17.99942","-66.59868"
"Ponce","Puerto Rico","00717","18.00272","-66.61146"
"Naguabo","Puerto Rico","00718","18.23145","-65.76067"
"Naranjito","Puerto Rico","00719","18.28879","-66.25316"
"Orocovis","Puerto Rico","00720","18.21559","-66.42421"
"Patillas","Puerto Rico","00723","18.03139","-66.01122"
"Caguas","Puerto Rico","00725","18.22052","-66.03962"
"Caguas","Puerto Rico","00727","18.21142","-66.07374"
"Ponce","Puerto Rico","00728","18.00697","-66.65995"
"Canovanas","Puerto Rico","00729","18.33524","-65.88677"
"Ponce","Puerto Rico","00730","18.03256","-66.61384"
"Ponce","Puerto Rico","00731","18.09914","-66.63279"
"Ceiba","Puerto Rico","00735","18.2525","-65.67534"
"Cayey","Puerto Rico","00736","18.10736","-66.14994"
"Fajardo","Puerto Rico","00738","18.31793","-65.66793"
"Cidra","Puerto Rico","00739","18.17543","-66.16198"
"Puerto Real","Puerto Rico","00740","18.33251","-65.63419"
"Punta Santiago","Puerto Rico","00741","18.16569","-65.75506"
"Rio Grande","Puerto Rico","00745","18.3466","-65.81382"
"Salinas","Puerto Rico","00751","18.01205","-66.25871"
"San Lorenzo","Puerto Rico","00754","18.1447","-65.97565"
"Santa Isabel","Puerto Rico","00757","17.9933","-66.39056"
"Vieques","Puerto Rico","00765","18.12365","-65.43013"
"Villalba","Puerto Rico","00766","18.13039","-66.4757"
"Yabucoa","Puerto Rico","00767","18.07033","-65.89618"
"Coamo","Puerto Rico","00769","18.09459","-66.3607"
"Las Piedras","Puerto Rico","00771","18.18797","-65.86916"
"Loiza","Puerto Rico","00772","18.43048","-65.90377"
"Luquillo","Puerto Rico","00773","18.34073","-65.72756"
"Culebra","Puerto Rico","00775","18.31387","-65.28618"
"Juncos","Puerto Rico","00777","18.22365","-65.90904"
"Gurabo","Puerto Rico","00778","18.26319","-65.97938"
"Coto Laurel","Puerto Rico","00780","18.09998","-66.57032"
"Comerio","Puerto Rico","00782","18.22501","-66.22452"
"Corozal","Puerto Rico","00783","18.30348","-66.32851"
"Guayama","Puerto Rico","00784","18.00558","-66.13651"
"La Plata","Puerto Rico","00786","18.1357","-66.22881"
"Humacao","Puerto Rico","00791","18.14391","-65.81398"
"Barranquitas","Puerto Rico","00794","18.19934","-66.31179"
"Juana Diaz","Puerto Rico","00795","18.05128","-66.49485"
"St Thomas","Virgin Islands","00802","18.34349","-64.9287"
"Christiansted","Virgin Islands","00820","17.7388","-64.70695"
"St John","Virgin Islands","00830","18.33857","-64.73802"
"Frederiksted","Virgin Islands","00840","17.72649","-64.84717"
"Kingshill","Virgin Islands","00850","17.72763","-64.79122"
"Kingshill","Virgin Islands","00851","17.74757","-64.78737"
"San Juan","Puerto Rico","00901","18.46478","-66.10277"
"San Juan","Puerto Rico","00906","18.46446","-66.09499"
"San Juan","Puerto Rico","00907","18.45287","-66.08381"
"San Juan","Puerto Rico","00909","18.44131","-66.06866"
"San Juan","Puerto Rico","00911","18.45133","-66.05636"
"San Juan","Puerto Rico","00912","18.44503","-66.05995"
"San Juan","Puerto Rico","00913","18.45024","-66.04275"
"San Juan","Puerto Rico","00915","18.43673","-66.04576"
"San Juan","Puerto Rico","00917","18.4208","-66.04989"
"San Juan","Puerto Rico","00918","18.42139","-66.06774"
"San Juan","Puerto Rico","00920","18.41904","-66.09023"
"San Juan","Puerto Rico","00921","18.39206","-66.0871"
"San Juan","Puerto Rico","00923","18.41146","-66.03715"
"San Juan","Puerto Rico","00924","18.39987","-66.01344"
"San Juan","Puerto Rico","00925","18.40028","-66.05058"
"San Juan","Puerto Rico","00926","18.34691","-66.05434"
"San Juan","Puerto Rico","00927","18.38884","-66.07149"
"Fort Buchanan","Puerto Rico","00934","18.41372","-66.11998"
"Toa Baja","Puerto Rico","00949","18.43166","-66.21349"
"Toa Baja","Puerto Rico","00950","18.46201","-66.23917"
"Toa Baja","Puerto Rico","00951","18.43175","-66.25628"
"Sabana Seca","Puerto Rico","00952","18.42874","-66.18897"
"Toa Alta","Puerto Rico","00953","18.36319","-66.24764"
"Bayamon","Puerto Rico","00956","18.32121","-66.17185"
"Bayamon","Puerto Rico","00957","18.36696","-66.18857"
"Bayamon","Puerto Rico","00959","18.3852","-66.15583"
"Bayamon","Puerto Rico","00960","18.41674","-66.14365"
"Bayamon","Puerto Rico","00961","18.40987","-66.16415"
"Catano","Puerto Rico","00962","18.43514","-66.13949"
"Guaynabo","Puerto Rico","00965","18.42853","-66.11175"
"Guaynabo","Puerto Rico","00966","18.39784","-66.11394"
"Guaynabo","Puerto Rico","00968","18.40609","-66.10123"
"Guaynabo","Puerto Rico","00969","18.36696","-66.11"
"Guaynabo","Puerto Rico","00971","18.32067","-66.11751"
"Trujillo Alto","Puerto Rico","00976","18.33903","-65.99286"
"Carolina","Puerto Rico","00979","18.43734","-66.0089"
"Carolina","Puerto Rico","00982","18.40961","-65.99143"
"Carolina","Puerto Rico","00983","18.41788","-65.98104"
"Carolina","Puerto Rico","00985","18.40628","-65.94767"
"Carolina","Puerto Rico","00987","18.34115","-65.94257"
"Agawam","Massachusetts","01001","42.06262","-72.62521"
"Amherst","Massachusetts","01002","42.37633","-72.46462"
"Amherst","Massachusetts","01003","42.39135","-72.52327"
"Barre","Massachusetts","01005","42.42117","-72.10655"
"Belchertown","Massachusetts","01007","42.28163","-72.40009"
"Blandford","Massachusetts","01008","42.18234","-72.95819"
"Bondsville","Massachusetts","01009","42.21133","-72.34189"
"Brimfield","Massachusetts","01010","42.12904","-72.20597"
"Chester","Massachusetts","01011","42.30233","-72.96448"
"Chesterfield","Massachusetts","01012","42.38495","-72.84675"
"Chicopee","Massachusetts","01013","42.16059","-72.60788"
"Chicopee","Massachusetts","01020","42.17618","-72.56538"
"Chicopee","Massachusetts","01022","42.19721","-72.54249"
"Cummington","Massachusetts","01026","42.46858","-72.92296"
"Easthampton","Massachusetts","01027","42.29506","-72.74303"
"East Longmeadow","Massachusetts","01028","42.05967","-72.49899"
"East Otis","Massachusetts","01029","42.19402","-73.05067"
"Feeding Hills","Massachusetts","01030","42.06869","-72.67967"
